INFO  - 2014-09-16 00:29:18.770; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@6fc8b992 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-16 00:29:18.959; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=174 
INFO  - 2014-09-16 00:29:18.960; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-09-16 00:29:18.961; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-09-16 00:29:18.962; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-09-16 00:29:18.966; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@6fc8b992 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-16 00:29:18.970; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-09-16 00:29:18.972; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\Program Files\Java\apache-tomcat-7.0.55\bin
INFO  - 2014-09-16 00:29:18.973; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-09-16 00:29:30.723; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1012687675
INFO  - 2014-09-16 00:29:30.723; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@47030971
INFO  - 2014-09-16 00:29:30.733; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2014-09-16 00:29:30.734; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
